instance;best_makespan;opt_or_unsat_certified;time
J100100_1.mm2;51;yes;12,49
J100100_2.mm2;58;yes;16,22
J100100_3.mm2;52;yes;33,70
J100100_4.mm2;55;yes;16,97
J100100_5.mm2;57;yes;13,63
J100101_1.mm2;55;yes;11,14
J100101_2.mm2;58;yes;10,40
J100101_3.mm2;52;yes;13,11
J100101_4.mm2;58;yes;11,89
J100101_5.mm2;64;yes;11,02
J10010_1.mm2;38;no;600
J100102_1.mm2;55;yes;18,60
J100102_2.mm2;48;yes;23,69
J100102_3.mm2;56;yes;19,45
J100102_4.mm2;52;yes;12,54
J100102_5.mm2;54;yes;14,08
J10010_2.mm2;41;no;600
J100103_1.mm2;110;no;600
J100103_2.mm2;;no;600
J100103_3.mm2;;no;600
J100103_4.mm2;;no;600
J100103_5.mm2;121;no;600
J10010_3.mm2;41;no;600
J100104_1.mm2;93;no;600
J100104_2.mm2;73;no;600
J100104_3.mm2;66;no;600
J100104_4.mm2;64;yes;584,40
J100104_5.mm2;70;no;600
J10010_4.mm2;39;no;600
J100105_1.mm2;62;yes;64,75
J100105_2.mm2;53;yes;40,51
J100105_3.mm2;65;yes;66,81
J100105_4.mm2;58;yes;32,69
J100105_5.mm2;52;yes;59,68
J10010_5.mm2;37;no;600
J100106_1.mm2;58;yes;77,37
J100106_2.mm2;55;yes;72,23
J100106_3.mm2;55;yes;56,86
J100106_4.mm2;59;no;600
J100106_5.mm2;59;yes;56,64
J100107_1.mm2;62;yes;49,15
J100107_2.mm2;57;yes;44,34
J100107_3.mm2;52;yes;34,16
J100107_4.mm2;54;yes;40,65
J100107_5.mm2;56;yes;61,99
J100108_1.mm2;58;yes;44,82
J100108_2.mm2;53;yes;63,11
J100108_3.mm2;54;yes;56,31
J100108_4.mm2;51;yes;82,40
J100108_5.mm2;52;yes;51,98
J10011_1.mm2;37;no;600
J10011_2.mm2;45;no;600
J10011_3.mm2;34;no;600
J10011_4.mm2;46;no;600
J10011_5.mm2;35;no;600
J1001_1.mm2;;no;600
J10012_1.mm2;48;no;600
J10012_2.mm2;40;no;600
J10012_3.mm2;39;no;600
J10012_4.mm2;49;no;600
J10012_5.mm2;35;no;600
J1001_2.mm2;;no;600
J10013_1.mm2;;no;600
J10013_2.mm2;;no;600
J10013_3.mm2;37;no;600
J10013_4.mm2;43;no;600
J10013_5.mm2;;no;600
J1001_3.mm2;;no;600
