instance;best_makespan;opt_or_unsat_certified;time
J100100_1.mm2;51;yes;4,71
J100100_2.mm2;58;yes;5,57
J100100_3.mm2;52;yes;7,06
J100100_4.mm2;55;yes;5,38
J100100_5.mm2;57;yes;5,12
J100101_1.mm2;55;yes;3,63
J100101_2.mm2;58;yes;2,71
J100101_3.mm2;52;yes;4,04
J100101_4.mm2;58;yes;3,46
J100101_5.mm2;64;yes;2,76
J10010_1.mm2;36;no;600
J100102_1.mm2;55;yes;4,28
J100102_2.mm2;48;yes;5,49
J100102_3.mm2;56;yes;5,85
J100102_4.mm2;52;yes;4,82
J100102_5.mm2;54;yes;3,56
J10010_2.mm2;41;no;600
J100103_1.mm2;91;no;600
J100103_2.mm2;116;no;600
J100103_3.mm2;99;no;600
J100103_4.mm2;108;no;600
J100103_5.mm2;115;no;600
J10010_3.mm2;40;no;600
J100104_1.mm2;71;no;600
J100104_2.mm2;72;yes;378,34
J100104_3.mm2;66;no;600
J100104_4.mm2;64;yes;187,90
J100104_5.mm2;69;yes;118,95
J10010_4.mm2;37;no;600
J100105_1.mm2;62;yes;12,31
J100105_2.mm2;53;yes;8,34
J100105_3.mm2;65;yes;8,47
J100105_4.mm2;58;yes;4,97
J100105_5.mm2;52;yes;9,81
J10010_5.mm2;36;no;600
J100106_1.mm2;58;yes;13,36
J100106_2.mm2;55;yes;9,82
J100106_3.mm2;55;yes;7,06
J100106_4.mm2;58;yes;505,15
J100106_5.mm2;59;yes;8,31
J100107_1.mm2;62;yes;5,63
J100107_2.mm2;57;yes;6,81
J100107_3.mm2;52;yes;4,98
J100107_4.mm2;54;yes;4,35
J100107_5.mm2;56;yes;11,66
J100108_1.mm2;58;yes;6,62
J100108_2.mm2;53;yes;9,14
J100108_3.mm2;54;yes;7,78
J100108_4.mm2;51;yes;13,62
J100108_5.mm2;52;yes;12,34
J10011_1.mm2;36;no;600
J10011_2.mm2;46;no;600
J10011_3.mm2;33;no;600
J10011_4.mm2;46;no;600
J10011_5.mm2;33;no;600
J1001_1.mm2;34;no;600
J10012_1.mm2;46;no;600
J10012_2.mm2;38;no;600
J10012_3.mm2;36;no;600
J10012_4.mm2;48;no;600
J10012_5.mm2;33;no;600
J1001_2.mm2;39;no;600
J10013_1.mm2;;no;600
J10013_2.mm2;33;no;600
J10013_3.mm2;41;no;600
J10013_4.mm2;37;no;600
J10013_5.mm2;;no;600
J1001_3.mm2;50;no;600
J10014_1.mm2;22;yes;4,92
J10014_2.mm2;23;yes;3,91
J10014_3.mm2;21;yes;4,79
J10014_4.mm2;29;yes;3,55
J10014_5.mm2;26;yes;3,79
J1001_4.mm2;51;no;600
J10015_1.mm2;23;yes;6,22
J10015_2.mm2;23;yes;3,95
J10015_3.mm2;25;yes;2,24
J10015_4.mm2;24;yes;3,53
J10015_5.mm2;26;yes;3,52
