instance;best_makespan;opt_or_unsat_certified;time
J50100_1.mm2;45;yes;2,76
J50100_2.mm2;46;yes;1,99
J50100_3.mm2;50;yes;2,99
J50100_4.mm2;45;yes;2,84
J50100_5.mm2;45;yes;2,42
J50101_1.mm2;41;yes;0,74
J50101_2.mm2;45;yes;0,79
J50101_3.mm2;39;yes;0,94
J50101_4.mm2;36;yes;0,63
J50101_5.mm2;36;yes;0,72
J5010_1.mm2;32;no;600
J50102_1.mm2;39;yes;2,26
J50102_2.mm2;43;yes;1,63
J50102_3.mm2;34;yes;1,83
J50102_4.mm2;36;yes;1,85
J50102_5.mm2;40;yes;1,82
J5010_2.mm2;42;no;600
J50103_1.mm2;79;no;600
J50103_2.mm2;110;no;600
J50103_3.mm2;76;no;600
J50103_4.mm2;60;no;600
J50103_5.mm2;88;no;600
J5010_3.mm2;32;no;600
J50104_1.mm2;51;yes;55,43
J50104_2.mm2;55;yes;9,21
J50104_3.mm2;57;yes;9,55
J50104_4.mm2;53;yes;108,65
J50104_5.mm2;55;yes;5,16
J5010_4.mm2;33;no;600
J50105_1.mm2;42;yes;2,03
J50105_2.mm2;43;yes;3,74
J50105_3.mm2;40;yes;2,27
J50105_4.mm2;40;yes;6,52
J50105_5.mm2;38;yes;2,05
J5010_5.mm2;44;no;600
J50106_1.mm2;46;yes;2,56
J50106_2.mm2;53;yes;3,40
J50106_3.mm2;46;yes;93,16
J50106_4.mm2;46;yes;9,00
J50106_5.mm2;46;yes;51,69
J50107_1.mm2;53;yes;1,85
J50107_2.mm2;38;yes;2,39
J50107_3.mm2;38;yes;1,23
J50107_4.mm2;50;yes;1,01
J50107_5.mm2;40;yes;1,49
J50108_1.mm2;45;yes;3,70
J50108_2.mm2;46;yes;2,59
J50108_3.mm2;50;yes;2,03
J50108_4.mm2;38;yes;8,52
J50108_5.mm2;40;yes;2,30
J5011_1.mm2;29;no;600
J5011_2.mm2;29;no;600
J5011_3.mm2;29;no;600
J5011_4.mm2;25;no;600
J5011_5.mm2;30;no;600
J501_1.mm2;;no;600
J5012_1.mm2;32;no;600
J5012_2.mm2;34;no;600
J5012_3.mm2;26;no;600
J5012_4.mm2;28;no;600
J5012_5.mm2;29;no;600
J501_2.mm2;27;no;600
J5013_1.mm2;35;no;600
J5013_2.mm2;29;no;600
J5013_3.mm2;30;no;600
J5013_4.mm2;33;no;600
J5013_5.mm2;26;no;600
J501_3.mm2;28;no;600
J5014_1.mm2;23;yes;4,89
J5014_2.mm2;21;yes;3,98
J5014_3.mm2;22;yes;4,60
J5014_4.mm2;20;yes;2,44
J5014_5.mm2;19;yes;2,34
J501_4.mm2;35;no;600
J5015_1.mm2;19;yes;1,95
J5015_2.mm2;25;yes;1,82
J5015_3.mm2;17;yes;2,66
J5015_4.mm2;23;yes;1,74
J5015_5.mm2;18;yes;2,13
J501_5.mm2;33;no;600
J5016_1.mm2;17;yes;2,14
J5016_2.mm2;16;yes;13,40
J5016_3.mm2;18;yes;3,34
J5016_4.mm2;19;yes;2,47
J5016_5.mm2;26;yes;3,23
J5017_1.mm2;17;yes;2,03
J5017_2.mm2;20;yes;2,56
J5017_3.mm2;16;yes;1,65
J5017_4.mm2;15;yes;2,00
J5017_5.mm2;18;yes;1,58
J5018_1.mm2;24;yes;1,41
J5018_2.mm2;20;yes;1,84
J5018_3.mm2;16;yes;2,76
J5018_4.mm2;19;yes;1,25
J5018_5.mm2;17;yes;2,41
J5019_1.mm2;35;no;600
J5019_2.mm2;28;no;600
J5019_3.mm2;34;no;600
J5019_4.mm2;33;no;600
J5019_5.mm2;34;no;600
J5020_1.mm2;30;yes;87,30
J5020_2.mm2;30;no;600
J5020_3.mm2;23;yes;60,97
J5020_4.mm2;28;no;600
J5020_5.mm2;28;no;600
J5021_1.mm2;19;no;600
J5021_2.mm2;21;yes;7,60
J5021_3.mm2;21;yes;3,58
J5021_4.mm2;18;yes;60,08
J5021_5.mm2;18;no;600
J502_1.mm2;24;yes;39,20
