instance;best_makespan;opt_or_unsat_certified;time
J50100_1.mm2;45;yes;1,54
J50100_2.mm2;46;yes;1,57
J50100_3.mm2;50;yes;2,10
J50100_4.mm2;45;yes;2,13
J50100_5.mm2;45;yes;1,71
J50101_1.mm2;41;yes;0,90
J50101_2.mm2;45;yes;1,09
J50101_3.mm2;39;yes;1,25
J50101_4.mm2;36;yes;1,05
J50101_5.mm2;36;yes;1,10
J5010_1.mm2;31;no;600
J50102_1.mm2;39;yes;1,94
J50102_2.mm2;43;yes;1,36
J50102_3.mm2;34;yes;1,66
J50102_4.mm2;36;yes;1,21
J50102_5.mm2;40;yes;1,42
J5010_2.mm2;38;no;600
J50103_1.mm2;67;no;600
J50103_2.mm2;88;yes;595,67
J50103_3.mm2;66;yes;146,86
J50103_4.mm2;59;yes;99,82
J50103_5.mm2;61;yes;198,53
J5010_3.mm2;30;no;600
J50104_1.mm2;51;yes;7,63
J50104_2.mm2;55;yes;4,14
J50104_3.mm2;57;yes;4,99
J50104_4.mm2;53;yes;10,84
J50104_5.mm2;55;yes;2,80
J5010_4.mm2;31;no;600
J50105_1.mm2;42;yes;3,13
J50105_2.mm2;43;yes;4,31
J50105_3.mm2;40;yes;3,35
J50105_4.mm2;40;yes;4,19
J50105_5.mm2;38;yes;3,56
J5010_5.mm2;42;no;600
J50106_1.mm2;46;yes;3,16
J50106_2.mm2;53;yes;3,51
J50106_3.mm2;46;yes;9,88
J50106_4.mm2;46;yes;5,16
J50106_5.mm2;46;yes;7,82
J50107_1.mm2;53;yes;2,52
J50107_2.mm2;38;yes;3,20
J50107_3.mm2;38;yes;3,09
J50107_4.mm2;50;yes;2,64
J50107_5.mm2;40;yes;2,25
J50108_1.mm2;45;yes;3,27
J50108_2.mm2;46;yes;3,49
J50108_3.mm2;50;yes;2,84
J50108_4.mm2;38;yes;5,13
J50108_5.mm2;40;yes;3,10
J5011_1.mm2;27;no;600
J5011_2.mm2;30;no;600
J5011_3.mm2;28;no;600
J5011_4.mm2;26;no;600
J5011_5.mm2;30;no;600
J501_1.mm2;31;yes;278,60
J5012_1.mm2;28;no;600
J5012_2.mm2;32;no;600
J5012_3.mm2;24;no;600
J5012_4.mm2;27;no;600
J5012_5.mm2;27;no;600
J501_2.mm2;25;yes;153,60
J5013_1.mm2;25;yes;153,00
J5013_2.mm2;29;yes;22,09
J5013_3.mm2;28;yes;41,94
J5013_4.mm2;24;yes;239,15
J5013_5.mm2;24;yes;8,99
J501_3.mm2;25;yes;354,88
J5014_1.mm2;23;yes;4,46
J5014_2.mm2;21;yes;2,94
J5014_3.mm2;22;yes;4,88
J5014_4.mm2;20;yes;4,70
J5014_5.mm2;19;yes;2,81
J501_4.mm2;29;yes;45,51
J5015_1.mm2;19;yes;3,75
J5015_2.mm2;25;yes;2,57
J5015_3.mm2;17;yes;4,89
J5015_4.mm2;23;yes;3,55
J5015_5.mm2;18;yes;4,93
J501_5.mm2;26;yes;33,12
J5016_1.mm2;17;yes;3,78
J5016_2.mm2;16;yes;8,53
