instance;best_makespan;opt_or_unsat_certified;time
J50100_1.mm2;45;yes;1,04
J50100_2.mm2;46;yes;1,52
J50100_3.mm2;50;yes;1,29
J50100_4.mm2;45;yes;1,48
J50100_5.mm2;45;yes;1,20
J50101_1.mm2;41;yes;0,42
J50101_2.mm2;45;yes;0,50
J50101_3.mm2;39;yes;0,59
J50101_4.mm2;36;yes;0,47
J50101_5.mm2;36;yes;0,47
J5010_1.mm2;30;no;600
J50102_1.mm2;39;yes;1,07
J50102_2.mm2;43;yes;0,88
J50102_3.mm2;34;yes;1,06
J50102_4.mm2;36;yes;0,75
J50102_5.mm2;40;yes;0,95
J5010_2.mm2;38;no;600
J50103_1.mm2;67;yes;43,28
J50103_2.mm2;88;yes;59,08
J50103_3.mm2;66;yes;31,61
J50103_4.mm2;59;yes;16,21
J50103_5.mm2;61;yes;23,42
J5010_3.mm2;29;no;600
J50104_1.mm2;51;yes;3,79
J50104_2.mm2;55;yes;2,76
J50104_3.mm2;57;yes;2,96
J50104_4.mm2;53;yes;6,80
J50104_5.mm2;55;yes;1,75
J5010_4.mm2;31;no;600
J50105_1.mm2;42;yes;1,11
J50105_2.mm2;43;yes;1,89
J50105_3.mm2;40;yes;1,00
J50105_4.mm2;40;yes;2,22
J50105_5.mm2;38;yes;1,09
J5010_5.mm2;39;no;600
J50106_1.mm2;46;yes;1,29
J50106_2.mm2;53;yes;1,85
J50106_3.mm2;46;yes;8,31
J50106_4.mm2;46;yes;2,55
J50106_5.mm2;46;yes;6,04
J50107_1.mm2;53;yes;1,13
J50107_2.mm2;38;yes;1,31
J50107_3.mm2;38;yes;0,67
J50107_4.mm2;50;yes;0,52
J50107_5.mm2;40;yes;0,84
J50108_1.mm2;45;yes;2,04
J50108_2.mm2;46;yes;1,56
J50108_3.mm2;50;yes;1,20
J50108_4.mm2;38;yes;2,45
J50108_5.mm2;40;yes;1,30
J5011_1.mm2;27;no;600
J5011_2.mm2;29;no;600
J5011_3.mm2;29;no;600
J5011_4.mm2;25;no;600
J5011_5.mm2;30;no;600
J501_1.mm2;31;yes;25,16
J5012_1.mm2;29;no;600
J5012_2.mm2;32;no;600
J5012_3.mm2;25;no;600
J5012_4.mm2;27;no;600
J5012_5.mm2;27;no;600
J501_2.mm2;25;yes;21,49
J5013_1.mm2;25;yes;22,96
J5013_2.mm2;29;yes;6,57
J5013_3.mm2;28;yes;6,11
J5013_4.mm2;24;yes;17,90
J5013_5.mm2;24;yes;2,86
J501_3.mm2;25;yes;170,74
J5014_1.mm2;23;yes;2,82
J5014_2.mm2;21;yes;1,64
J5014_3.mm2;22;yes;2,51
J5014_4.mm2;20;yes;2,24
J5014_5.mm2;19;yes;1,45
J501_4.mm2;29;yes;9,59
J5015_1.mm2;19;yes;2,16
J5015_2.mm2;25;yes;1,58
J5015_3.mm2;17;yes;2,36
J5015_4.mm2;23;yes;1,90
J5015_5.mm2;18;yes;1,92
J501_5.mm2;26;yes;8,35
J5016_1.mm2;17;yes;2,18
J5016_2.mm2;16;yes;8,33
J5016_3.mm2;18;yes;2,83
J5016_4.mm2;19;yes;2,35
J5016_5.mm2;26;yes;2,58
J5017_1.mm2;17;yes;1,72
J5017_2.mm2;20;yes;2,37
J5017_3.mm2;16;yes;1,72
J5017_4.mm2;15;yes;2,30
J5017_5.mm2;18;yes;1,99
J5018_1.mm2;24;yes;1,65
J5018_2.mm2;20;yes;1,98
J5018_3.mm2;16;yes;2,59
J5018_4.mm2;19;yes;1,56
J5018_5.mm2;17;yes;2,58
J5019_1.mm2;29;yes;21,51
J5019_2.mm2;27;yes;37,30
J5019_3.mm2;31;yes;13,07
J5019_4.mm2;25;yes;38,51
J5019_5.mm2;28;yes;53,26
J5020_1.mm2;30;yes;17,32
J5020_2.mm2;26;no;600
J5020_3.mm2;23;yes;43,00
J5020_4.mm2;26;no;600
J5020_5.mm2;26;no;600
J5021_1.mm2;18;no;600
J5021_2.mm2;21;yes;4,74
J5021_3.mm2;21;yes;3,73
J5021_4.mm2;18;yes;15,04
J5021_5.mm2;18;no;600
J502_1.mm2;24;yes;12,63
J5022_1.mm2;21;no;600
J5022_2.mm2;20;yes;21,08
J5022_3.mm2;18;yes;8,33
J5022_4.mm2;21;yes;12,12
J5022_5.mm2;24;no;600
J502_2.mm2;25;yes;245,38
J5023_1.mm2;17;yes;261,61
J5023_2.mm2;19;yes;6,78
J5023_3.mm2;20;yes;3,77
J5023_4.mm2;16;no;600
J5023_5.mm2;22;yes;4,19
J502_3.mm2;22;yes;32,87
J5024_1.mm2;17;no;600
J5024_2.mm2;18;yes;6,38
J5024_3.mm2;23;yes;4,58
J5024_4.mm2;18;yes;9,65
J5024_5.mm2;18;yes;5,27
J502_4.mm2;24;yes;37,80
J5025_1.mm2;24;yes;2,67
J5025_2.mm2;27;yes;178,54
J5025_3.mm2;26;yes;13,86
J5025_4.mm2;29;yes;136,23
J5025_5.mm2;27;yes;3,28
J502_5.mm2;23;yes;64,06
J5026_1.mm2;20;yes;1,42
J5026_2.mm2;21;yes;2,51
J5026_3.mm2;22;yes;1,45
J5026_4.mm2;21;yes;1,87
J5026_5.mm2;19;yes;1,65
J5027_1.mm2;20;yes;2,16
J5027_2.mm2;18;yes;2,51
J5027_3.mm2;17;yes;2,05
J5027_4.mm2;17;yes;1,86
J5027_5.mm2;18;yes;2,00
J5028_1.mm2;25;yes;1,47
J5028_2.mm2;18;yes;1,70
J5028_3.mm2;21;yes;2,04
J5028_4.mm2;23;yes;1,54
J5028_5.mm2;19;yes;1,63
J5029_1.mm2;18;yes;1,38
J5029_2.mm2;19;yes;1,64
J5029_3.mm2;17;yes;1,84
J5029_4.mm2;20;yes;1,18
J5029_5.mm2;16;yes;1,52
J5030_1.mm2;17;yes;2,40
J5030_2.mm2;20;yes;1,35
J5030_3.mm2;20;yes;1,64
J5030_4.mm2;17;yes;2,06
J5030_5.mm2;17;yes;1,66
J5031_1.mm2;26;yes;7,67
J5031_2.mm2;29;yes;36,93
J5031_3.mm2;27;yes;33,52
J5031_4.mm2;25;yes;36,87
J5031_5.mm2;25;yes;5,48
J503_1.mm2;19;yes;7,20
J5032_1.mm2;23;yes;3,58
J5032_2.mm2;22;yes;2,65
J5032_3.mm2;23;yes;2,54
J5032_4.mm2;23;yes;2,41
J5032_5.mm2;20;yes;2,26
J503_2.mm2;20;yes;4,95
J5033_1.mm2;20;yes;2,97
J5033_2.mm2;23;yes;2,69
J5033_3.mm2;21;yes;3,17
J5033_4.mm2;20;yes;2,92
J5033_5.mm2;20;yes;2,69
J503_3.mm2;18;yes;11,34
J5034_1.mm2;18;yes;2,68
J5034_2.mm2;24;yes;2,57
J5034_3.mm2;25;yes;1,77
J5034_4.mm2;19;yes;5,24
J5034_5.mm2;21;yes;2,16
J503_4.mm2;23;yes;7,13
J5035_1.mm2;16;yes;4,21
J5035_2.mm2;21;yes;2,86
J5035_3.mm2;20;yes;1,86
J5035_4.mm2;22;yes;2,27
J5035_5.mm2;22;yes;2,51
J503_5.mm2;18;yes;59,02
J5036_1.mm2;20;yes;2,45
J5036_2.mm2;19;yes;2,40
J5036_3.mm2;18;yes;2,91
J5036_4.mm2;23;yes;2,66
J5036_5.mm2;21;yes;4,79
J5037_1.mm2;42;yes;9,54
J5037_2.mm2;42;yes;15,95
J5037_3.mm2;41;yes;46,37
J5037_4.mm2;40;yes;17,97
J5037_5.mm2;42;yes;25,45
J5038_1.mm2;35;yes;3,74
J5038_2.mm2;30;yes;4,62
J5038_3.mm2;34;yes;8,27
J5038_4.mm2;37;yes;22,00
J5038_5.mm2;38;yes;6,26
J5039_1.mm2;30;yes;10,60
J5039_2.mm2;29;yes;5,17
J5039_3.mm2;27;yes;9,63
J5039_4.mm2;29;yes;3,44
J5039_5.mm2;25;yes;4,47
J5040_1.mm2;26;yes;5,40
J5040_2.mm2;30;yes;9,49
J5040_3.mm2;27;yes;10,62
J5040_4.mm2;28;yes;7,14
J5040_5.mm2;30;yes;4,03
J5041_1.mm2;27;yes;1,66
J5041_2.mm2;28;yes;1,79
J5041_3.mm2;27;yes;2,41
J5041_4.mm2;28;yes;1,81
J5041_5.mm2;33;yes;2,01
J504_1.mm2;19;yes;43,89
J5042_1.mm2;33;yes;3,08
