instance;best_makespan;opt_or_unsat_certified;time
j3010_10.mm;32;yes;0,37
j3010_1.mm;26;yes;0,29
j3010_2.mm;28;yes;0,35
j3010_3.mm;24;yes;0,44
j3010_4.mm;36;yes;0,24
j3010_5.mm;33;yes;0,47
j3010_6.mm;25;yes;0,39
j3010_7.mm;22;yes;0,46
j3010_8.mm;31;yes;0,25
j3010_9.mm;38;yes;0,38
j301_10.mm;unsat;yes;0,05
j3011_10.mm;35;yes;0,37
j3011_1.mm;35;yes;0,26
j3011_2.mm;28;yes;0,36
j3011_3.mm;31;yes;0,32
j3011_4.mm;35;yes;0,19
j3011_5.mm;35;yes;0,31
j3011_6.mm;33;yes;0,29
j3011_7.mm;32;yes;0,32
j3011_8.mm;30;yes;0,22
j3011_9.mm;26;yes;0,42
j301_1.mm;unsat;yes;0,03
j3012_10.mm;28;yes;0,25
j3012_1.mm;29;yes;0,34
j3012_2.mm;31;yes;0,29
j3012_3.mm;34;yes;0,28
j3012_4.mm;29;yes;0,29
j3012_5.mm;25;yes;0,31
j3012_6.mm;34;yes;0,28
j3012_7.mm;27;yes;0,31
j3012_8.mm;28;yes;0,31
j3012_9.mm;22;yes;0,30
j301_2.mm;unsat;yes;0,02
j3013_10.mm;43;no;600
j3013_1.mm;37;yes;1,16
j3013_2.mm;40;yes;383,21
j3013_3.mm;41;no;600
j3013_4.mm;41;no;600
j3013_5.mm;38;yes;566,62
j3013_6.mm;38;yes;16,12
j3013_7.mm;41;yes;223,24
j3013_8.mm;28;yes;4,59
j3013_9.mm;30;yes;243,16
j301_3.mm;unsat;yes;0,02
j3014_10.mm;29;yes;0,84
j3014_1.mm;37;yes;0,66
j3014_2.mm;32;yes;2,01
j3014_3.mm;30;yes;1,61
j3014_4.mm;34;yes;1,62
j3014_5.mm;26;yes;2,46
j3014_6.mm;29;yes;0,27
j3014_7.mm;34;yes;0,73
j3014_8.mm;41;yes;0,91
j3014_9.mm;31;yes;0,92
j301_4.mm;unsat;yes;0,03
j3015_10.mm;38;yes;0,37
j3015_1.mm;40;yes;0,29
j3015_2.mm;34;yes;0,60
j3015_3.mm;33;yes;0,52
j3015_4.mm;30;yes;0,39
j3015_5.mm;24;yes;1,74
j3015_6.mm;22;yes;0,38
j3015_7.mm;27;yes;0,56
j3015_8.mm;23;yes;0,43
j3015_9.mm;28;yes;0,79
j301_5.mm;unsat;yes;0,03
j3016_10.mm;32;yes;0,25
j3016_1.mm;27;yes;0,35
j3016_2.mm;41;yes;0,26
j3016_3.mm;23;yes;0,39
j3016_4.mm;19;yes;0,39
j3016_5.mm;30;yes;0,40
j3016_6.mm;30;yes;0,54
j3016_7.mm;22;yes;0,24
j3016_8.mm;25;yes;0,33
j3016_9.mm;24;yes;0,44
j301_6.mm;unsat;yes;0,02
j3017_10.mm;26;yes;0,58
j3017_1.mm;34;yes;0,56
j3017_2.mm;26;yes;0,59
j3017_3.mm;33;yes;0,69
j3017_4.mm;39;yes;0,31
j3017_5.mm;29;yes;0,51
j3017_6.mm;33;yes;0,52
j3017_7.mm;32;yes;0,46
j3017_8.mm;31;yes;0,51
j3017_9.mm;34;yes;0,38
j301_7.mm;unsat;yes;0,04
j3018_10.mm;33;yes;0,23
j3018_1.mm;28;yes;0,25
j3018_2.mm;33;yes;0,18
j3018_3.mm;35;yes;0,23
j3018_4.mm;31;yes;0,21
j3018_5.mm;21;yes;0,30
j3018_6.mm;25;yes;0,27
j3018_7.mm;35;yes;0,21
j3018_8.mm;18;yes;0,27
j3018_9.mm;25;yes;0,28
j301_8.mm;unsat;yes;0,02
j3019_10.mm;29;yes;0,25
j3019_1.mm;35;yes;0,25
j3019_2.mm;21;yes;0,25
j3019_3.mm;31;yes;0,24
j3019_4.mm;30;yes;0,18
j3019_5.mm;27;yes;0,25
j3019_6.mm;24;yes;0,25
j3019_7.mm;36;yes;0,18
j3019_8.mm;34;yes;0,22
j3019_9.mm;25;yes;0,22
j301_9.mm;unsat;yes;0,03
j3020_10.mm;28;yes;0,26
j3020_1.mm;30;yes;0,22
j3020_2.mm;25;yes;0,23
j3020_3.mm;27;yes;0,20
j3020_4.mm;35;yes;0,24
j3020_5.mm;29;yes;0,16
j3020_6.mm;24;yes;0,24
j3020_7.mm;30;yes;0,19
j3020_8.mm;33;yes;0,16
j3020_9.mm;26;yes;0,23
j302_10.mm;unsat;yes;0,03
j3021_10.mm;45;yes;38,41
j3021_1.mm;38;yes;23,79
j3021_2.mm;34;no;600
j3021_3.mm;36;yes;472,85
j3021_4.mm;37;yes;8,74
j3021_5.mm;37;yes;456,53
j3021_6.mm;33;yes;76,75
j3021_7.mm;36;no;600
j3021_8.mm;44;yes;17,63
j3021_9.mm;32;yes;50,15
j302_1.mm;unsat;yes;0,02
j3022_10.mm;23;yes;0,57
j3022_1.mm;26;yes;0,81
j3022_2.mm;36;yes;1,09
j3022_3.mm;25;yes;0,63
j3022_4.mm;26;yes;0,50
j3022_5.mm;30;yes;8,72
j3022_6.mm;31;yes;0,35
j3022_7.mm;38;yes;0,55
j3022_8.mm;33;yes;1,02
j3022_9.mm;34;yes;0,56
j302_2.mm;unsat;yes;0,03
j3023_10.mm;21;yes;0,36
j3023_1.mm;25;yes;0,26
j3023_2.mm;33;yes;0,22
