instance;best_makespan;opt_or_unsat_certified;time
j3010_10.mm;32;yes;1,13
j3010_1.mm;26;yes;1,14
j3010_2.mm;28;yes;1,45
j3010_3.mm;24;yes;1,44
j3010_4.mm;36;yes;0,76
j3010_5.mm;33;yes;1,27
j3010_6.mm;25;yes;1,42
j3010_7.mm;22;yes;1,21
j3010_8.mm;31;yes;0,65
j3010_9.mm;38;yes;0,75
j301_10.mm;unsat;yes;0,11
j3011_10.mm;35;yes;2,22
j3011_1.mm;35;yes;1,10
j3011_2.mm;28;yes;1,04
j3011_3.mm;31;yes;1,73
j3011_4.mm;35;yes;0,92
j3011_5.mm;35;yes;1,26
j3011_6.mm;33;yes;1,11
j3011_7.mm;32;yes;1,89
j3011_8.mm;30;yes;1,71
j3011_9.mm;26;yes;1,62
j301_1.mm;unsat;yes;0,04
j3012_10.mm;28;yes;1,63
j3012_1.mm;29;yes;1,72
j3012_2.mm;31;yes;1,14
j3012_3.mm;34;yes;1,71
j3012_4.mm;29;yes;1,23
j3012_5.mm;25;yes;1,52
j3012_6.mm;34;yes;1,68
j3012_7.mm;27;yes;2,09
j3012_8.mm;28;yes;2,25
j3012_9.mm;22;yes;1,67
j301_2.mm;unsat;yes;0,03
j3013_10.mm;44;no;600
j3013_1.mm;37;yes;3,10
j3013_2.mm;40;yes;58,40
j3013_3.mm;41;yes;384,77
j3013_4.mm;41;yes;299,42
j3013_5.mm;38;yes;102,67
j3013_6.mm;38;yes;38,61
j3013_7.mm;41;yes;93,43
j3013_8.mm;28;yes;3,31
j3013_9.mm;30;yes;40,32
j301_3.mm;unsat;yes;0,03
j3014_10.mm;29;yes;3,49
j3014_1.mm;37;yes;2,74
j3014_2.mm;32;yes;2,51
j3014_3.mm;30;yes;4,25
j3014_4.mm;34;yes;3,96
j3014_5.mm;26;yes;4,61
j3014_6.mm;29;yes;2,03
j3014_7.mm;34;yes;2,74
j3014_8.mm;41;yes;1,76
j3014_9.mm;31;yes;2,85
j301_4.mm;unsat;yes;0,05
j3015_10.mm;38;yes;3,12
j3015_1.mm;40;yes;3,97
j3015_2.mm;34;yes;3,54
j3015_3.mm;33;yes;3,91
j3015_4.mm;30;yes;3,22
j3015_5.mm;24;yes;3,79
j3015_6.mm;22;yes;2,36
j3015_7.mm;27;yes;3,54
j3015_8.mm;23;yes;5,29
j3015_9.mm;28;yes;5,47
j301_5.mm;unsat;yes;0,03
j3016_10.mm;32;yes;2,73
j3016_1.mm;27;yes;4,02
j3016_2.mm;41;yes;3,39
j3016_3.mm;23;yes;4,26
j3016_4.mm;19;yes;5,54
j3016_5.mm;30;yes;5,71
j3016_6.mm;30;yes;4,12
j3016_7.mm;22;yes;4,81
j3016_8.mm;25;yes;9,63
j3016_9.mm;24;yes;6,22
j301_6.mm;unsat;yes;0,03
j3017_10.mm;26;yes;0,90
j3017_1.mm;34;yes;0,94
j3017_2.mm;26;yes;1,24
j3017_3.mm;33;yes;1,10
j3017_4.mm;39;yes;0,65
j3017_5.mm;29;yes;0,77
j3017_6.mm;33;yes;1,17
j3017_7.mm;32;yes;1,27
j3017_8.mm;31;yes;0,83
j3017_9.mm;34;yes;1,08
j301_7.mm;unsat;yes;0,04
j3018_10.mm;33;yes;0,73
j3018_1.mm;28;yes;0,63
j3018_2.mm;33;yes;0,66
j3018_3.mm;35;yes;1,19
j3018_4.mm;31;yes;1,04
j3018_5.mm;21;yes;1,13
j3018_6.mm;25;yes;0,94
j3018_7.mm;35;yes;0,77
j3018_8.mm;18;yes;1,41
j3018_9.mm;25;yes;1,42
j301_8.mm;unsat;yes;0,02
j3019_10.mm;29;yes;1,94
j3019_1.mm;35;yes;1,05
j3019_2.mm;21;yes;1,35
j3019_3.mm;31;yes;1,10
j3019_4.mm;30;yes;1,00
j3019_5.mm;27;yes;1,65
j3019_6.mm;24;yes;1,04
j3019_7.mm;36;yes;0,81
j3019_8.mm;34;yes;1,40
j3019_9.mm;25;yes;1,17
j301_9.mm;unsat;yes;0,03
j3020_10.mm;28;yes;1,74
j3020_1.mm;30;yes;1,78
j3020_2.mm;25;yes;1,35
j3020_3.mm;27;yes;1,52
j3020_4.mm;35;yes;1,74
j3020_5.mm;29;yes;1,53
j3020_6.mm;24;yes;1,28
j3020_7.mm;30;yes;1,17
j3020_8.mm;33;yes;0,82
j3020_9.mm;26;yes;1,73
j302_10.mm;unsat;yes;0,03
j3021_10.mm;45;yes;6,09
j3021_1.mm;38;yes;6,39
j3021_2.mm;34;yes;96,03
j3021_3.mm;36;yes;51,83
j3021_4.mm;37;yes;3,96
j3021_5.mm;37;yes;36,98
j3021_6.mm;33;yes;10,53
j3021_7.mm;36;yes;75,22
j3021_8.mm;44;yes;6,20
j3021_9.mm;32;yes;9,79
j302_1.mm;unsat;yes;0,02
j3022_10.mm;23;yes;3,94
j3022_1.mm;26;yes;4,16
j3022_2.mm;36;yes;2,61
j3022_3.mm;25;yes;4,70
j3022_4.mm;26;yes;4,04
j3022_5.mm;30;yes;4,39
j3022_6.mm;31;yes;3,48
j3022_7.mm;38;yes;3,73
j3022_8.mm;33;yes;2,53
j3022_9.mm;34;yes;3,15
j302_2.mm;unsat;yes;0,05
j3023_10.mm;21;yes;5,30
j3023_1.mm;25;yes;2,32
j3023_2.mm;33;yes;2,25
j3023_3.mm;23;yes;4,37
j3023_4.mm;24;yes;2,88
j3023_5.mm;32;yes;2,55
j3023_6.mm;27;yes;3,98
j3023_7.mm;24;yes;4,01
j3023_8.mm;23;yes;2,47
j3023_9.mm;26;yes;3,14
j302_3.mm;unsat;yes;0,05
j3024_10.mm;37;yes;4,25
j3024_1.mm;27;yes;3,49
j3024_2.mm;31;yes;5,67
j3024_3.mm;21;yes;5,65
j3024_4.mm;29;yes;4,22
j3024_5.mm;37;yes;3,15
j3024_6.mm;30;yes;3,75
j3024_7.mm;29;yes;5,12
j3024_8.mm;38;yes;3,87
j3024_9.mm;31;yes;6,90
j302_4.mm;unsat;yes;0,04
j3025_10.mm;27;yes;1,26
j3025_1.mm;34;yes;1,23
j3025_2.mm;32;yes;1,87
j3025_3.mm;24;yes;0,78
j3025_4.mm;30;yes;1,04
j3025_5.mm;27;yes;1,07
j3025_6.mm;32;yes;0,88
j3025_7.mm;33;yes;0,71
j3025_8.mm;33;yes;1,26
j3025_9.mm;51;yes;1,70
j302_5.mm;unsat;yes;0,03
j3026_10.mm;22;yes;0,94
j3026_1.mm;21;yes;0,98
j3026_2.mm;22;yes;1,37
j3026_3.mm;42;yes;0,65
j3026_4.mm;34;yes;1,12
j3026_5.mm;22;yes;1,45
j3026_6.mm;29;yes;0,95
j3026_7.mm;29;yes;0,84
j3026_8.mm;40;yes;0,62
j3026_9.mm;21;yes;1,25
j302_6.mm;unsat;yes;0,07
j3027_10.mm;29;yes;0,72
j3027_1.mm;38;yes;1,19
j3027_2.mm;29;yes;1,20
j3027_3.mm;28;yes;1,04
j3027_4.mm;28;yes;1,01
j3027_5.mm;40;yes;1,11
j3027_6.mm;25;yes;1,85
j3027_7.mm;30;yes;1,32
j3027_8.mm;42;yes;1,31
j3027_9.mm;37;yes;1,62
j302_7.mm;unsat;yes;0,03
j3028_10.mm;26;yes;1,56
j3028_1.mm;37;yes;1,50
j3028_2.mm;25;yes;2,49
j3028_3.mm;31;yes;1,58
j3028_4.mm;33;yes;1,94
j3028_5.mm;23;yes;1,73
j3028_6.mm;29;yes;2,34
j3028_7.mm;37;yes;0,92
j3028_8.mm;36;yes;1,83
j3028_9.mm;28;yes;2,01
j302_8.mm;unsat;yes;0,05
j3029_10.mm;36;yes;8,73
j3029_1.mm;46;yes;5,82
j3029_2.mm;34;yes;83,92
j3029_3.mm;32;yes;6,30
j3029_4.mm;33;yes;5,63
j3029_5.mm;34;yes;8,88
j3029_6.mm;42;yes;11,37
j3029_7.mm;38;yes;9,47
j3029_8.mm;50;yes;7,31
j3029_9.mm;37;yes;8,05
j302_9.mm;unsat;yes;0,02
j3030_10.mm;19;yes;2,82
j3030_1.mm;36;yes;2,58
j3030_2.mm;30;yes;4,02
j3030_3.mm;29;yes;3,71
j3030_4.mm;35;yes;5,35
j3030_5.mm;30;yes;3,21
j3030_6.mm;41;yes;4,00
j3030_7.mm;27;yes;5,28
j3030_8.mm;28;yes;3,97
j3030_9.mm;36;yes;2,17
j303_10.mm;unsat;yes;0,03
j3031_10.mm;20;yes;6,68
j3031_1.mm;25;yes;3,94
j3031_2.mm;43;yes;3,65
j3031_3.mm;31;yes;3,38
j3031_4.mm;29;yes;2,49
j3031_5.mm;43;yes;5,83
j3031_6.mm;32;yes;4,87
j3031_7.mm;45;yes;5,21
j3031_8.mm;26;yes;5,04
j3031_9.mm;33;yes;4,50
j303_1.mm;unsat;yes;0,03
j3032_10.mm;29;yes;3,53
j3032_1.mm;31;yes;3,43
j3032_2.mm;32;yes;1,87
j3032_3.mm;28;yes;3,42
j3032_4.mm;27;yes;5,28
j3032_5.mm;29;yes;6,41
j3032_6.mm;29;yes;4,06
j3032_7.mm;36;yes;2,69
j3032_8.mm;29;yes;3,08
j3032_9.mm;22;yes;5,91
j303_2.mm;unsat;yes;0,04
j3033_10.mm;39;yes;1,22
j3033_1.mm;47;yes;1,86
j3033_2.mm;45;yes;1,70
j3033_3.mm;45;yes;1,09
j3033_4.mm;57;yes;1,04
j3033_5.mm;48;yes;1,25
j3033_6.mm;41;yes;0,78
j3033_7.mm;45;yes;0,94
j3033_8.mm;39;yes;1,33
j3033_9.mm;44;yes;1,92
j303_3.mm;unsat;yes;0,03
j3034_10.mm;54;yes;1,13
j3034_1.mm;39;yes;0,72
j3034_2.mm;32;yes;0,93
j3034_3.mm;38;yes;0,86
j3034_4.mm;42;yes;1,16
j3034_5.mm;43;yes;0,83
j3034_6.mm;41;yes;1,07
j3034_7.mm;44;yes;0,95
j3034_8.mm;47;yes;1,08
j3034_9.mm;38;yes;1,37
j303_4.mm;unsat;yes;0,02
j3035_10.mm;51;yes;2,35
j3035_1.mm;34;yes;1,61
j3035_2.mm;35;yes;0,87
j3035_3.mm;39;yes;1,16
j3035_4.mm;47;yes;1,13
j3035_5.mm;42;yes;1,56
j3035_6.mm;41;yes;2,00
j3035_7.mm;35;yes;0,73
j3035_8.mm;40;yes;1,75
j3035_9.mm;36;yes;1,56
j303_5.mm;unsat;yes;0,04
j3036_10.mm;unsat;yes;0,10
j3036_1.mm;unsat;yes;0,03
