instance;best_makespan;opt_or_unsat_certified;time
J12010_10.RCP;66;yes;0,83
J12010_1.RCP;111;yes;1,43
J12010_2.RCP;91;yes;1,32
J12010_3.RCP;99;yes;3,29
J12010_4.RCP;95;yes;4,53
J12010_5.RCP;97;yes;1,18
J12010_6.RCP;92;yes;0,49
J12010_7.RCP;79;yes;2,25
J12010_8.RCP;114;yes;2,72
J12010_9.RCP;77;yes;0,45
J1201_10.RCP;108;yes;6,13
J12011_10.RCP;215;no;600
J12011_1.RCP;200;no;600
J12011_2.RCP;187;no;600
J12011_3.RCP;239;no;600
J12011_4.RCP;237;no;600
J12011_5.RCP;252;no;600
J12011_6.RCP;253;no;600
J12011_7.RCP;189;no;600
J12011_8.RCP;188;no;600
J12011_9.RCP;200;no;600
J1201_1.RCP;105;yes;288,52
J12012_10.RCP;159;no;600
J12012_1.RCP;160;no;600
J12012_2.RCP;132;no;600
J12012_3.RCP;152;no;600
J12012_4.RCP;141;no;600
J12012_5.RCP;191;no;600
J12012_6.RCP;139;no;600
J12012_7.RCP;135;no;600
J12012_8.RCP;133;no;600
J12012_9.RCP;117;no;600
J1201_2.RCP;109;yes;4,55
J12013_10.RCP;101;no;600
J12013_1.RCP;138;no;600
J12013_2.RCP;91;no;600
J12013_3.RCP;127;no;600
J12013_4.RCP;122;no;600
J12013_5.RCP;94;no;600
J12013_6.RCP;103;no;600
J12013_7.RCP;120;no;600
J12013_8.RCP;102;no;600
J12013_9.RCP;89;no;600
J1201_3.RCP;125;yes;327,10
J12014_10.RCP;83;no;600
J12014_1.RCP;87;no;600
J12014_2.RCP;94;no;600
J12014_3.RCP;88;yes;13,29
J12014_4.RCP;92;no;600
J12014_5.RCP;100;no;600
J12014_6.RCP;91;yes;23,71
J12014_7.RCP;92;no;600
J12014_8.RCP;114;no;600
J12014_9.RCP;101;yes;41,70
J1201_4.RCP;97;yes;1,97
J12015_10.RCP;91;yes;1,98
J12015_1.RCP;81;yes;0,76
J12015_2.RCP;75;yes;1,57
J12015_3.RCP;87;yes;8,19
J12015_4.RCP;82;yes;2,30
J12015_5.RCP;87;yes;1,35
J12015_6.RCP;97;yes;1,11
J12015_7.RCP;75;yes;1,54
J12015_8.RCP;126;yes;0,56
J12015_9.RCP;109;yes;0,50
J1201_5.RCP;112;yes;2,79
J12016_10.RCP;248;no;600
J12016_1.RCP;223;no;600
J12016_2.RCP;275;no;600
J12016_3.RCP;267;no;600
J12016_4.RCP;232;no;600
J12016_5.RCP;230;no;600
J12016_6.RCP;239;no;600
J12016_7.RCP;215;no;600
J12016_8.RCP;230;no;600
J12016_9.RCP;230;no;600
J1201_6.RCP;84;yes;1,43
J12017_10.RCP;151;no;600
J12017_1.RCP;156;no;600
J12017_2.RCP;136;no;600
J12017_3.RCP;120;no;600
J12017_4.RCP;133;no;600
J12017_5.RCP;146;no;600
J12017_6.RCP;150;no;600
J12017_7.RCP;165;no;600
J12017_8.RCP;140;no;600
J12017_9.RCP;154;no;600
J1201_7.RCP;117;yes;3,05
J12018_10.RCP;102;no;600
J12018_1.RCP;147;no;600
