instance;best_makespan;opt_or_unsat_certified;time
J12010_10.RCP;66;yes;1,57
J12010_1.RCP;111;yes;1,58
J12010_2.RCP;91;yes;2,17
J12010_3.RCP;99;yes;1,72
J12010_4.RCP;95;yes;2,11
J12010_5.RCP;97;yes;1,49
J12010_6.RCP;92;yes;0,67
J12010_7.RCP;79;yes;1,97
J12010_8.RCP;114;yes;1,51
J12010_9.RCP;77;yes;1,04
J1201_10.RCP;108;yes;2,34
J12011_10.RCP;205;no;600
J12011_1.RCP;191;no;600
J12011_2.RCP;178;no;600
J12011_3.RCP;230;no;600
J12011_4.RCP;219;no;600
J12011_5.RCP;237;no;600
J12011_6.RCP;235;no;600
J12011_7.RCP;184;no;600
J12011_8.RCP;179;no;600
J12011_9.RCP;192;no;600
J1201_1.RCP;105;yes;186,86
J12012_10.RCP;152;no;600
J12012_1.RCP;151;no;600
J12012_2.RCP;129;no;600
J12012_3.RCP;146;no;600
J12012_4.RCP;136;no;600
J12012_5.RCP;183;no;600
J12012_6.RCP;134;no;600
J12012_7.RCP;130;no;600
J12012_8.RCP;130;no;600
J12012_9.RCP;114;no;600
J1201_2.RCP;109;yes;2,38
J12013_10.RCP;100;no;600
J12013_1.RCP;136;no;600
J12013_2.RCP;91;no;600
J12013_3.RCP;122;no;600
J12013_4.RCP;123;no;600
J12013_5.RCP;94;no;600
J12013_6.RCP;102;no;600
J12013_7.RCP;117;no;600
J12013_8.RCP;98;no;600
J12013_9.RCP;88;no;600
J1201_3.RCP;125;yes;139,68
J12014_10.RCP;83;no;600
J12014_1.RCP;87;no;600
J12014_2.RCP;95;no;600
J12014_3.RCP;88;yes;4,12
J12014_4.RCP;91;no;600
J12014_5.RCP;100;no;600
J12014_6.RCP;91;yes;11,13
J12014_7.RCP;93;no;600
J12014_8.RCP;116;no;600
J12014_9.RCP;101;yes;3,21
J1201_4.RCP;97;yes;0,98
J12015_10.RCP;91;yes;4,42
J12015_1.RCP;81;yes;2,24
J12015_2.RCP;75;yes;3,59
J12015_3.RCP;87;yes;4,26
J12015_4.RCP;82;yes;5,21
J12015_5.RCP;87;yes;4,36
J12015_6.RCP;97;yes;2,30
J12015_7.RCP;75;yes;3,40
J12015_8.RCP;126;yes;2,57
