instance;best_makespan;opt_or_unsat_certified;time
J3010_10.RCP;41;yes;0,74
J3010_1.RCP;42;yes;0,22
J3010_2.RCP;56;yes;0,53
J3010_3.RCP;62;yes;1,07
J3010_4.RCP;58;yes;0,64
J3010_5.RCP;41;yes;0,95
J3010_6.RCP;44;yes;0,77
J3010_7.RCP;49;yes;0,36
J3010_8.RCP;54;yes;0,52
J3010_9.RCP;49;yes;0,00
J301_10.RCP;45;yes;0,18
J3011_10.RCP;38;yes;0,16
J3011_1.RCP;54;yes;0,37
J3011_2.RCP;56;yes;0,24
J3011_3.RCP;81;yes;0,09
J3011_4.RCP;63;yes;0,17
J3011_5.RCP;49;yes;0,72
J3011_6.RCP;44;yes;0,20
J3011_7.RCP;36;yes;0,79
J3011_8.RCP;62;yes;0,10
J3011_9.RCP;67;yes;0,10
J301_1.RCP;43;yes;0,22
J3012_10.RCP;57;yes;0,00
J3012_1.RCP;47;yes;0,00
J3012_2.RCP;46;yes;0,00
J3012_3.RCP;37;yes;0,00
J3012_4.RCP;63;yes;0,00
J3012_5.RCP;47;yes;0,00
J3012_6.RCP;53;yes;0,00
J3012_7.RCP;55;yes;0,00
J3012_8.RCP;35;yes;0,00
J3012_9.RCP;52;yes;0,00
J301_2.RCP;47;yes;0,09
J3013_10.RCP;64;yes;18,41
J3013_1.RCP;58;yes;103,91
J3013_2.RCP;62;no;600
J3013_3.RCP;76;yes;93,95
J3013_4.RCP;72;yes;38,45
J3013_5.RCP;67;yes;374,03
J3013_6.RCP;64;yes;535,85
J3013_7.RCP;77;yes;118,97
J3013_8.RCP;106;yes;213,79
J3013_9.RCP;71;yes;6,30
J301_3.RCP;47;yes;0,09
J3014_10.RCP;61;yes;0,33
J3014_1.RCP;50;yes;0,97
J3014_2.RCP;53;yes;6,73
J3014_3.RCP;58;yes;2,37
J3014_4.RCP;50;yes;1,86
J3014_5.RCP;52;yes;0,43
J3014_6.RCP;35;yes;1,30
J3014_7.RCP;50;yes;3,16
J3014_8.RCP;54;yes;0,00
J3014_9.RCP;46;yes;2,18
J301_4.RCP;62;yes;0,21
J3015_10.RCP;65;yes;0,23
J3015_1.RCP;46;yes;0,34
J3015_2.RCP;47;yes;0,11
J3015_3.RCP;48;yes;0,26
J3015_4.RCP;48;yes;0,08
J3015_5.RCP;58;yes;2,93
J3015_6.RCP;67;yes;0,00
J3015_7.RCP;47;yes;0,32
J3015_8.RCP;50;yes;0,60
J3015_9.RCP;54;yes;0,31
J301_5.RCP;39;yes;0,10
J3016_10.RCP;51;yes;0,00
J3016_1.RCP;51;yes;0,00
J3016_2.RCP;48;yes;0,00
J3016_3.RCP;36;yes;0,00
J3016_4.RCP;47;yes;0,00
J3016_5.RCP;51;yes;0,00
J3016_6.RCP;51;yes;0,00
J3016_7.RCP;34;yes;0,00
J3016_8.RCP;44;yes;0,00
J3016_9.RCP;44;yes;0,00
J301_6.RCP;48;yes;0,07
J3017_10.RCP;66;yes;0,08
J3017_1.RCP;64;yes;0,11
J3017_2.RCP;68;yes;0,04
J3017_3.RCP;60;yes;0,00
J3017_4.RCP;49;yes;0,06
J3017_5.RCP;47;yes;0,11
J3017_6.RCP;63;yes;0,09
J3017_7.RCP;57;yes;0,05
J3017_8.RCP;61;yes;0,09
J3017_9.RCP;48;yes;0,09
J301_7.RCP;60;yes;0,08
J3018_10.RCP;49;yes;0,09
J3018_1.RCP;53;yes;0,05
J3018_2.RCP;55;yes;0,03
J3018_3.RCP;56;yes;0,07
J3018_4.RCP;70;yes;0,03
J3018_5.RCP;52;yes;0,04
J3018_6.RCP;62;yes;0,09
J3018_7.RCP;48;yes;0,06
J3018_8.RCP;52;yes;0,03
