instance;best_makespan;opt_or_unsat_certified;time
J6010_10.RCP;73;yes;0,37
J6010_1.RCP;85;yes;0,55
J6010_2.RCP;62;yes;0,73
J6010_3.RCP;72;yes;0,29
J6010_4.RCP;80;yes;0,37
J6010_5.RCP;79;yes;0,44
J6010_6.RCP;67;yes;0,54
J6010_7.RCP;69;yes;0,36
J6010_8.RCP;65;yes;0,34
J6010_9.RCP;73;yes;0,44
J601_10.RCP;80;yes;0,08
J6011_10.RCP;58;yes;0,21
J6011_1.RCP;71;yes;0,02
J6011_2.RCP;61;yes;0,34
J6011_3.RCP;76;yes;0,19
J6011_4.RCP;69;yes;0,35
J6011_5.RCP;65;yes;0,02
J6011_6.RCP;70;yes;0,26
J6011_7.RCP;70;yes;0,17
J6011_8.RCP;69;yes;0,01
J6011_9.RCP;62;yes;0,23
J601_1.RCP;77;yes;0,09
J6012_10.RCP;79;yes;0,00
J6012_1.RCP;59;yes;0,01
J6012_2.RCP;58;yes;0,01
J6012_3.RCP;75;yes;0,01
J6012_4.RCP;69;yes;0,01
J6012_5.RCP;63;yes;0,01
J6012_6.RCP;54;yes;0,01
J6012_7.RCP;71;yes;0,01
J6012_8.RCP;60;yes;0,01
J6012_9.RCP;59;yes;0,01
J601_2.RCP;68;yes;0,11
J6013_10.RCP;122;no;600
J6013_1.RCP;116;no;600
J6013_2.RCP;112;no;600
J6013_3.RCP;92;no;600
J6013_4.RCP;106;no;600
J6013_5.RCP;103;no;600
J6013_6.RCP;98;no;600
J6013_7.RCP;91;no;600
J6013_8.RCP;125;no;600
J6013_9.RCP;104;no;600
J601_3.RCP;68;yes;0,06
J6014_10.RCP;72;yes;23,13
J6014_1.RCP;61;yes;5,27
J6014_2.RCP;65;yes;0,53
J6014_3.RCP;61;yes;123,37
J6014_4.RCP;65;yes;0,85
J6014_5.RCP;59;yes;0,67
J6014_6.RCP;65;yes;0,38
J6014_7.RCP;69;yes;0,58
J6014_8.RCP;88;yes;0,47
J6014_9.RCP;61;yes;0,73
J601_4.RCP;91;yes;0,12
J6015_10.RCP;61;yes;0,38
J6015_1.RCP;84;yes;0,53
J6015_2.RCP;89;yes;0,46
J6015_3.RCP;72;yes;0,01
J6015_4.RCP;75;yes;0,36
J6015_5.RCP;70;yes;0,51
J6015_6.RCP;76;yes;0,45
J6015_7.RCP;64;yes;0,27
J6015_8.RCP;79;yes;0,50
J6015_9.RCP;72;yes;0,29
J601_5.RCP;73;yes;0,11
J6016_10.RCP;68;yes;0,01
J6016_1.RCP;64;yes;0,06
J6016_2.RCP;64;yes;0,06
J6016_3.RCP;53;yes;0,06
J6016_4.RCP;60;yes;0,01
J6016_5.RCP;66;yes;0,00
J6016_6.RCP;66;yes;0,01
J6016_7.RCP;82;yes;0,01
J6016_8.RCP;68;yes;0,01
J6016_9.RCP;54;yes;0,01
J601_6.RCP;66;yes;0,09
J6017_10.RCP;72;yes;0,13
J6017_1.RCP;86;yes;0,13
J6017_2.RCP;69;yes;0,12
J6017_3.RCP;89;yes;0,12
J6017_4.RCP;71;yes;0,08
J6017_5.RCP;59;yes;0,07
J6017_6.RCP;69;yes;0,08
J6017_7.RCP;83;yes;0,19
J6017_8.RCP;85;yes;0,17
J6017_9.RCP;76;yes;0,13
J601_7.RCP;72;yes;0,14
J6018_10.RCP;97;yes;0,07
J6018_1.RCP;81;yes;0,09
J6018_2.RCP;69;yes;0,06
J6018_3.RCP;77;yes;0,01
J6018_4.RCP;71;yes;0,08
J6018_5.RCP;80;yes;0,06
J6018_6.RCP;61;yes;0,02
J6018_7.RCP;93;yes;0,05
J6018_8.RCP;78;yes;0,05
J6018_9.RCP;69;yes;0,05
J601_8.RCP;75;yes;0,11
J6019_10.RCP;78;yes;0,04
J6019_1.RCP;62;yes;0,04
J6019_2.RCP;83;yes;0,01
J6019_3.RCP;83;yes;0,05
J6019_4.RCP;67;yes;0,00
J6019_5.RCP;73;yes;0,06
