instance;best_makespan;opt_or_unsat_certified;time
J9010_10.sm;75;yes;49,34
J9010_1.sm;77;yes;20,13
J9010_2.sm;95;yes;33,86
J9010_3.sm;112;yes;19,39
J9010_4.sm;94;yes;13,94
J9010_5.sm;78;yes;27,47
J9010_6.sm;92;yes;11,82
J9010_7.sm;83;yes;12,62
J9010_8.sm;81;yes;87,48
J9010_9.sm;88;yes;20,81
J901_10.sm;90;yes;12,68
J9011_10.sm;81;yes;7,07
J9011_1.sm;86;yes;5,38
J9011_2.sm;99;yes;24,72
J9011_3.sm;69;yes;19,22
J9011_4.sm;64;yes;32,59
J9011_5.sm;81;yes;0,01
J9011_6.sm;78;yes;0,01
J9011_7.sm;95;yes;0,01
J9011_8.sm;82;yes;25,33
J9011_9.sm;81;yes;0,01
J901_1.sm;73;yes;45,22
J9012_10.sm;86;yes;0,01
J9012_1.sm;71;yes;0,01
J9012_2.sm;71;yes;0,01
J9012_3.sm;93;yes;0,01
J9012_4.sm;73;yes;0,01
J9012_5.sm;83;yes;0,01
J9012_6.sm;81;yes;0,01
J9012_7.sm;77;yes;0,01
J9012_8.sm;83;yes;0,01
J9012_9.sm;77;yes;0,01
J901_2.sm;92;yes;4,95
J9013_10.sm;132;no;600
J9013_1.sm;154;no;600
J9013_2.sm;141;no;600
J9013_3.sm;133;no;600
J9013_4.sm;123;no;600
J9013_5.sm;127;no;600
J9013_6.sm;135;no;600
J9013_7.sm;135;no;600
J9013_8.sm;128;no;600
J9013_9.sm;137;no;600
J901_3.sm;66;yes;18,99
J9014_10.sm;85;yes;102,47
J9014_1.sm;89;yes;64,84
J9014_2.sm;79;yes;136,22
J9014_3.sm;94;yes;54,00
J9014_4.sm;88;yes;113,38
J9014_5.sm;84;yes;14,94
J9014_6.sm;76;yes;473,49
J9014_7.sm;86;yes;8,76
J9014_8.sm;80;yes;59,70
J9014_9.sm;112;yes;47,57
J901_4.sm;86;yes;19,47
J9015_10.sm;78;yes;28,92
J9015_1.sm;76;yes;15,15
J9015_2.sm;71;yes;12,28
J9015_3.sm;82;yes;0,01
J9015_4.sm;92;yes;21,03
J9015_5.sm;93;yes;19,12
J9015_6.sm;61;yes;17,53
J9015_7.sm;82;yes;17,19
J9015_8.sm;82;yes;26,97
J9015_9.sm;83;yes;7,90
J901_5.sm;87;yes;16,93
J9016_10.sm;71;yes;0,01
J9016_1.sm;85;yes;0,01
J9016_2.sm;71;yes;0,01
J9016_3.sm;73;yes;0,01
J9016_4.sm;69;yes;0,01
J9016_5.sm;71;yes;0,01
J9016_6.sm;74;yes;0,01
J9016_7.sm;65;yes;0,01
J9016_8.sm;71;yes;0,01
J9016_9.sm;66;yes;0,01
J901_6.sm;74;yes;18,14
J9017_10.sm;89;yes;14,76
J9017_1.sm;92;yes;18,94
J9017_2.sm;100;yes;33,06
J9017_3.sm;89;yes;7,48
J9017_4.sm;94;yes;3,77
J9017_5.sm;113;yes;7,34
J9017_6.sm;94;yes;7,41
J9017_7.sm;80;yes;13,61
J9017_8.sm;113;yes;10,27
J9017_9.sm;96;yes;8,42
J901_7.sm;91;yes;7,16
J9018_10.sm;94;yes;3,24
J9018_1.sm;101;yes;0,01
J9018_2.sm;94;yes;8,04
J9018_3.sm;83;yes;2,79
J9018_4.sm;98;yes;3,99
J9018_5.sm;90;yes;4,87
J9018_6.sm;83;yes;2,99
