instance;best_makespan;opt_or_unsat_certified;time
J9010_10.sm;75;yes;39,08
J9010_1.sm;77;yes;16,34
J9010_2.sm;95;yes;29,97
J9010_3.sm;112;yes;14,01
J9010_4.sm;94;yes;11,01
J9010_5.sm;78;yes;18,42
J9010_6.sm;92;yes;11,33
J9010_7.sm;83;yes;9,86
J9010_8.sm;81;yes;85,67
J9010_9.sm;88;yes;16,96
J901_10.sm;90;yes;12,73
J9011_10.sm;81;yes;9,94
J9011_1.sm;86;yes;3,92
J9011_2.sm;99;yes;29,70
J9011_3.sm;69;yes;12,50
J9011_4.sm;64;yes;22,09
J9011_5.sm;81;yes;0,01
J9011_6.sm;78;yes;0,01
J9011_7.sm;95;yes;0,01
J9011_8.sm;82;yes;14,36
J9011_9.sm;81;yes;0,01
J901_1.sm;73;yes;36,81
J9012_10.sm;86;yes;0,01
J9012_1.sm;71;yes;0,01
J9012_2.sm;71;yes;0,01
J9012_3.sm;93;yes;0,01
J9012_4.sm;73;yes;0,01
J9012_5.sm;83;yes;0,01
J9012_6.sm;81;yes;0,01
J9012_7.sm;77;yes;0,01
J9012_8.sm;83;yes;0,02
J9012_9.sm;77;yes;0,01
J901_2.sm;92;yes;4,96
J9013_10.sm;132;no;600
J9013_1.sm;152;no;600
J9013_2.sm;141;no;600
J9013_3.sm;118;no;600
J9013_4.sm;131;no;600
J9013_5.sm;129;no;600
J9013_6.sm;137;no;600
J9013_7.sm;135;no;600
J9013_8.sm;130;no;600
J9013_9.sm;137;no;600
J901_3.sm;66;yes;16,79
J9014_10.sm;85;yes;119,17
J9014_1.sm;89;yes;45,44
J9014_2.sm;79;yes;80,64
J9014_3.sm;94;yes;47,14
J9014_4.sm;88;yes;126,07
J9014_5.sm;84;yes;12,30
J9014_6.sm;76;yes;272,51
J9014_7.sm;86;yes;5,75
J9014_8.sm;80;yes;44,04
J9014_9.sm;112;yes;44,02
J901_4.sm;86;yes;19,87
J9015_10.sm;78;yes;25,97
J9015_1.sm;76;yes;8,57
J9015_2.sm;71;yes;10,21
J9015_3.sm;82;yes;0,01
J9015_4.sm;92;yes;10,69
J9015_5.sm;93;yes;10,87
J9015_6.sm;61;yes;9,49
J9015_7.sm;82;yes;9,34
J9015_8.sm;82;yes;28,67
J9015_9.sm;83;yes;5,19
J901_5.sm;87;yes;17,07
J9016_10.sm;71;yes;0,01
J9016_1.sm;85;yes;0,01
J9016_2.sm;71;yes;0,01
J9016_3.sm;73;yes;0,01
J9016_4.sm;69;yes;0,01
J9016_5.sm;71;yes;0,01
