instance;best_makespan;opt_or_unsat_certified;time
Pack001.rcp;612;yes;5,71
Pack002.rcp;747;no;600
Pack003.rcp;626;no;600
Pack004.rcp;1381;yes;225,46
Pack005.rcp;983;yes;144,39
Pack006.rcp;1119;yes;60,16
Pack007.rcp;1082;yes;0,05
Pack008.rcp;1274;no;600
Pack009.rcp;1951;no;600
Pack010.rcp;1216;yes;20,86
Pack011.rcp;942;no;600
Pack012.rcp;1241;no;600
Pack013.rcp;829;yes;0,70
Pack014.rcp;1565;yes;60,82
Pack015.rcp;1198;no;600
Pack016.rcp;1813;no;600
Pack017.rcp;1651;no;600
Pack018.rcp;1480;no;600
Pack019.rcp;1543;no;600
Pack020.rcp;1661;no;600
Pack021.rcp;1606;yes;0,77
Pack022.rcp;1787;yes;208,98
Pack023.rcp;1092;yes;97,21
Pack024.rcp;1625;no;600
Pack025.rcp;2150;no;600
Pack026.rcp;926;yes;170,03
Pack027.rcp;1793;no;600
Pack028.rcp;1962;no;600
Pack029.rcp;1233;yes;8,09
Pack030.rcp;597;yes;1,50
Pack031.rcp;1949;yes;0,62
Pack032.rcp;2943;yes;0,21
Pack033.rcp;3390;yes;0,01
Pack034.rcp;2371;yes;0,60
Pack035.rcp;2305;yes;0,01
Pack036.rcp;2191;no;600
Pack037.rcp;3614;no;600
Pack038.rcp;2180;yes;9,33
Pack039.rcp;2734;no;600
Pack040.rcp;3024;yes;2,69
Pack041.rcp;679;no;600
Pack042.rcp;838;yes;85,08
Pack043.rcp;2439;yes;38,66
Pack044.rcp;3050;yes;2,22
Pack045.rcp;2712;yes;0,68
Pack046.rcp;3277;no;600
Pack047.rcp;2745;no;600
Pack048.rcp;2446;yes;1,10
Pack049.rcp;675;yes;462,93
Pack050.rcp;2716;no;600
Pack051.rcp;838;yes;85,58
Pack052.rcp;2253;yes;1,61
Pack053.rcp;2521;yes;0,32
Pack054.rcp;2750;yes;0,78
Pack055.rcp;2628;yes;0,55
