instance;best_makespan;opt_or_unsat_certified;time
Pack001.rcp;612;yes;6,14
Pack002.rcp;748;no;600
Pack003.rcp;625;no;600
Pack004.rcp;1381;yes;317,20
Pack005.rcp;983;yes;121,83
Pack006.rcp;1119;yes;94,08
Pack007.rcp;1082;yes;0,06
Pack008.rcp;1274;no;600
Pack009.rcp;1951;no;600
Pack010.rcp;1216;yes;34,65
Pack011.rcp;941;no;600
Pack012.rcp;1241;no;600
Pack013.rcp;829;yes;0,43
Pack014.rcp;1565;yes;63,33
Pack015.rcp;1198;no;600
Pack016.rcp;1813;no;600
Pack017.rcp;1651;no;600
Pack018.rcp;1480;no;600
Pack019.rcp;1542;no;600
Pack020.rcp;1661;no;600
Pack021.rcp;1606;yes;0,54
Pack022.rcp;1787;yes;135,47
Pack023.rcp;1092;yes;268,88
Pack024.rcp;1625;no;600
Pack025.rcp;2149;no;600
Pack026.rcp;926;yes;144,59
Pack027.rcp;1793;no;600
Pack028.rcp;1962;no;600
Pack029.rcp;1233;yes;10,88
Pack030.rcp;597;yes;1,21
Pack031.rcp;1949;yes;0,42
Pack032.rcp;2943;yes;0,29
Pack033.rcp;3390;yes;0,01
Pack034.rcp;2371;yes;0,71
Pack035.rcp;2305;yes;0,01
Pack036.rcp;2191;no;600
Pack037.rcp;3614;no;600
Pack038.rcp;2180;yes;10,89
Pack039.rcp;2734;no;600
Pack040.rcp;3024;yes;2,58
Pack041.rcp;680;no;600
Pack042.rcp;838;yes;64,67
Pack043.rcp;2439;yes;30,24
Pack044.rcp;3050;yes;2,45
Pack045.rcp;2712;yes;0,68
Pack046.rcp;3277;no;600
Pack047.rcp;2745;no;600
Pack048.rcp;2446;yes;0,78
Pack049.rcp;675;yes;160,18
Pack050.rcp;2716;no;600
Pack051.rcp;838;yes;64,33
Pack052.rcp;2253;yes;2,08
Pack053.rcp;2521;yes;0,35
Pack054.rcp;2750;yes;0,94
Pack055.rcp;2628;yes;0,49
