instance;best_makespan;opt_or_unsat_certified;time
Pack001.rcp;612;yes;14,49
Pack002.rcp;747;no;600
Pack003.rcp;626;no;600
Pack004.rcp;1381;yes;474,74
Pack005.rcp;983;yes;265,39
Pack006.rcp;1119;yes;227,50
Pack007.rcp;1082;yes;1,13
Pack008.rcp;1274;no;600
Pack009.rcp;1951;no;600
Pack010.rcp;1216;yes;55,11
Pack011.rcp;940;yes;162,65
Pack012.rcp;1241;no;600
Pack013.rcp;829;yes;9,58
Pack014.rcp;1565;yes;296,28
Pack015.rcp;1198;no;600
Pack016.rcp;2147;no;600
Pack017.rcp;1933;no;600
Pack018.rcp;1498;no;600
Pack019.rcp;1543;no;600
Pack020.rcp;2171;no;600
Pack021.rcp;1606;yes;42,17
Pack022.rcp;1787;yes;145,48
Pack023.rcp;1092;yes;80,27
Pack024.rcp;1625;no;600
Pack025.rcp;2407;no;600
Pack026.rcp;926;yes;162,37
Pack027.rcp;2136;no;600
Pack028.rcp;2274;no;600
Pack029.rcp;1233;yes;35,87
Pack030.rcp;597;yes;8,17
Pack031.rcp;1949;yes;13,58
Pack032.rcp;2943;yes;50,32
Pack033.rcp;3390;yes;0,02
Pack034.rcp;2371;yes;18,21
Pack035.rcp;2305;yes;0,01
Pack036.rcp;2191;no;600
Pack037.rcp;3614;no;600
Pack038.rcp;2180;yes;201,33
Pack039.rcp;2747;no;600
Pack040.rcp;3024;yes;108,06
Pack041.rcp;679;no;600
Pack042.rcp;842;no;600
Pack043.rcp;2439;yes;251,40
Pack044.rcp;3050;yes;34,02
Pack045.rcp;2712;yes;77,64
Pack046.rcp;3277;no;600
Pack047.rcp;2745;no;600
Pack048.rcp;2446;yes;113,34
Pack049.rcp;675;yes;287,23
Pack050.rcp;2716;no;600
Pack051.rcp;842;no;600
Pack052.rcp;2253;yes;31,74
Pack053.rcp;2521;yes;47,51
Pack054.rcp;2750;yes;87,71
Pack055.rcp;2628;yes;48,00
