instance;best_makespan;opt_or_unsat_certified;time
Pack001.rcp;612;yes;29,78
Pack002.rcp;747;no;600
Pack003.rcp;625;no;600
Pack004.rcp;1381;yes;295,39
Pack005.rcp;983;yes;265,03
Pack006.rcp;1119;yes;125,32
Pack007.rcp;1082;yes;1,58
Pack008.rcp;1274;no;600
Pack009.rcp;1951;no;600
Pack010.rcp;1216;yes;48,24
Pack011.rcp;940;yes;81,79
Pack012.rcp;1241;no;600
Pack013.rcp;829;yes;13,25
Pack014.rcp;1565;yes;269,49
Pack015.rcp;1198;no;600
Pack016.rcp;1813;no;600
Pack017.rcp;1663;no;600
Pack018.rcp;1480;no;600
Pack019.rcp;1543;no;600
Pack020.rcp;1663;no;600
Pack021.rcp;1606;yes;55,76
Pack022.rcp;1787;yes;112,76
Pack023.rcp;1092;yes;93,16
Pack024.rcp;1625;yes;517,43
Pack025.rcp;2153;no;600
Pack026.rcp;926;yes;145,17
Pack027.rcp;1793;no;600
Pack028.rcp;1962;no;600
Pack029.rcp;1233;yes;23,00
Pack030.rcp;597;yes;10,49
Pack031.rcp;1949;yes;18,02
Pack032.rcp;2943;yes;58,06
Pack033.rcp;3390;yes;0,01
Pack034.rcp;2371;yes;11,83
Pack035.rcp;2305;yes;0,01
Pack036.rcp;2191;no;600
Pack037.rcp;3614;no;600
Pack038.rcp;2180;yes;291,70
Pack039.rcp;2747;no;600
Pack040.rcp;3024;yes;37,18
Pack041.rcp;681;no;600
Pack042.rcp;838;yes;113,96
Pack043.rcp;2439;yes;259,15
Pack044.rcp;3050;yes;24,63
Pack045.rcp;2712;yes;143,18
Pack046.rcp;3277;no;600
Pack047.rcp;2745;no;600
Pack048.rcp;2446;yes;132,43
Pack049.rcp;675;yes;207,28
Pack050.rcp;2716;no;600
Pack051.rcp;838;yes;114,08
Pack052.rcp;2253;yes;42,28
Pack053.rcp;2521;yes;54,81
Pack054.rcp;2750;yes;128,94
Pack055.rcp;2628;yes;62,42
