instance;best_makespan;opt_or_unsat_certified;time
Pack001.rcp;612;yes;12,03
Pack002.rcp;747;no;600
Pack003.rcp;625;no;600
Pack004.rcp;1381;yes;322,96
Pack005.rcp;983;yes;177,62
Pack006.rcp;1119;yes;101,16
Pack007.rcp;1082;yes;1,40
Pack008.rcp;1274;no;600
Pack009.rcp;1951;no;600
Pack010.rcp;1216;yes;50,95
Pack011.rcp;940;yes;66,20
Pack012.rcp;1241;no;600
Pack013.rcp;829;yes;11,56
Pack014.rcp;1565;yes;164,48
Pack015.rcp;1198;no;600
Pack016.rcp;1813;no;600
Pack017.rcp;1651;no;600
Pack018.rcp;1480;no;600
Pack019.rcp;1542;no;600
Pack020.rcp;1661;no;600
Pack021.rcp;1606;yes;33,26
Pack022.rcp;1787;yes;69,78
Pack023.rcp;1092;yes;84,41
Pack024.rcp;1625;yes;330,83
Pack025.rcp;2149;no;600
Pack026.rcp;926;yes;166,35
Pack027.rcp;1793;no;600
Pack028.rcp;1962;no;600
Pack029.rcp;1233;yes;14,43
Pack030.rcp;597;yes;9,19
Pack031.rcp;1949;yes;14,97
Pack032.rcp;2943;yes;52,47
Pack033.rcp;3390;yes;0,01
Pack034.rcp;2371;yes;9,86
Pack035.rcp;2305;yes;0,01
Pack036.rcp;2191;no;600
Pack037.rcp;3614;no;600
Pack038.rcp;2180;yes;237,81
Pack039.rcp;2746;no;600
Pack040.rcp;3024;yes;27,96
Pack041.rcp;679;no;600
Pack042.rcp;838;yes;45,74
Pack043.rcp;2439;yes;265,42
Pack044.rcp;3050;yes;31,97
Pack045.rcp;2712;yes;105,32
Pack046.rcp;3277;no;600
Pack047.rcp;2745;no;600
Pack048.rcp;2446;yes;115,79
Pack049.rcp;675;yes;391,54
Pack050.rcp;2716;no;600
Pack051.rcp;838;yes;46,54
Pack052.rcp;2253;yes;35,10
Pack053.rcp;2521;yes;46,24
Pack054.rcp;2750;yes;115,70
Pack055.rcp;2628;yes;47,98
