instance;best_makespan;opt_or_unsat_certified;time
pack001.pat;23;yes;0,41
pack002.pat;32;yes;2,54
pack003.pat;29;yes;3,47
pack004.pat;44;no;600
pack005.pat;42;no;600
pack006.pat;47;no;600
pack007.pat;41;no;600
pack008.pat;44;no;600
pack009.pat;72;no;600
pack010.pat;38;yes;3,68
pack011.pat;44;yes;74,10
pack012.pat;46;no;600
pack013.pat;36;yes;2,18
pack014.pat;45;yes;1,17
pack015.pat;43;yes;0,35
pack016.pat;63;yes;13,50
pack017.pat;62;yes;6,33
pack018.pat;60;yes;28,89
pack019.pat;59;yes;16,85
pack020.pat;62;yes;166,81
pack021.pat;51;yes;1,32
pack022.pat;59;no;600
pack023.pat;51;yes;98,84
pack024.pat;56;yes;57,35
pack025.pat;70;no;600
pack026.pat;54;yes;1,71
pack027.pat;55;yes;452,83
pack028.pat;64;yes;44,72
pack029.pat;43;yes;3,59
pack030.pat;20;yes;0,28
pack031.pat;70;yes;0,19
pack032.pat;80;yes;7,18
pack033.pat;78;no;600
pack034.pat;73;yes;26,98
pack035.pat;77;no;600
pack036.pat;106;no;600
pack037.pat;138;no;600
pack038.pat;89;no;600
pack039.pat;110;no;600
pack040.pat;91;no;600
pack041.pat;27;yes;6,40
pack042.pat;29;yes;1,94
pack043.pat;105;yes;127,77
pack044.pat;103;yes;10,24
pack045.pat;87;no;600
pack046.pat;128;no;600
pack047.pat;107;no;600
pack048.pat;77;no;600
pack049.pat;29;yes;3,34
pack050.pat;109;no;600
pack051.pat;29;yes;1,93
pack052.pat;85;no;600
pack053.pat;113;no;600
pack054.pat;100;no;600
pack055.pat;97;no;600
