instance;best_makespan;opt_or_unsat_certified;time
pack001.pat;23;yes;0,15
pack002.pat;32;yes;7,47
pack003.pat;29;yes;1,39
pack004.pat;44;no;600
pack005.pat;42;no;600
pack006.pat;47;no;600
pack007.pat;41;no;600
pack008.pat;44;no;600
pack009.pat;72;no;600
pack010.pat;38;yes;29,95
pack011.pat;44;yes;1,67
pack012.pat;45;yes;7,09
pack013.pat;36;yes;0,09
pack014.pat;45;yes;4,86
pack015.pat;43;yes;3,76
pack016.pat;63;yes;10,05
pack017.pat;62;yes;34,45
pack018.pat;60;yes;356,83
pack019.pat;59;yes;19,08
pack020.pat;62;yes;88,25
pack021.pat;51;yes;3,36
pack022.pat;60;no;600
pack023.pat;51;yes;33,24
pack024.pat;57;no;600
pack025.pat;72;no;600
pack026.pat;54;yes;0,26
pack027.pat;56;no;600
pack028.pat;64;yes;47,86
pack029.pat;43;yes;2,62
pack030.pat;20;yes;2,01
pack031.pat;70;yes;0,22
pack032.pat;80;yes;5,41
pack033.pat;78;no;600
pack034.pat;73;yes;38,81
pack035.pat;77;no;600
pack036.pat;106;no;600
pack037.pat;138;no;600
pack038.pat;88;no;600
pack039.pat;111;no;600
pack040.pat;91;no;600
pack041.pat;27;yes;9,63
pack042.pat;29;yes;70,77
pack043.pat;105;yes;160,06
pack044.pat;103;yes;13,31
pack045.pat;87;no;600
pack046.pat;128;no;600
pack047.pat;107;no;600
pack048.pat;77;no;600
pack049.pat;29;yes;5,55
pack050.pat;109;no;600
pack051.pat;29;yes;69,51
pack052.pat;85;no;600
pack053.pat;113;no;600
pack054.pat;100;no;600
pack055.pat;97;no;600
