instance;best_makespan;opt_or_unsat_certified;time
pack001.pat;23;yes;0,14
pack002.pat;32;yes;21,85
pack003.pat;29;yes;3,44
pack004.pat;44;no;600
pack005.pat;42;no;600
pack006.pat;47;no;600
pack007.pat;41;no;600
pack008.pat;44;no;600
pack009.pat;72;no;600
pack010.pat;38;yes;29,43
pack011.pat;44;yes;4,47
pack012.pat;45;yes;3,62
pack013.pat;36;yes;1,83
pack014.pat;45;yes;11,75
pack015.pat;43;yes;1,98
pack016.pat;63;yes;22,88
pack017.pat;62;yes;5,32
pack018.pat;60;yes;232,40
pack019.pat;59;yes;29,84
pack020.pat;62;yes;21,65
pack021.pat;51;yes;1,55
pack022.pat;59;no;600
pack023.pat;51;yes;17,00
pack024.pat;56;yes;203,05
pack025.pat;70;no;600
pack026.pat;54;yes;2,26
pack027.pat;56;no;600
pack028.pat;64;yes;415,47
pack029.pat;43;yes;10,19
pack030.pat;20;yes;0,24
pack031.pat;70;yes;0,16
pack032.pat;80;yes;5,76
pack033.pat;78;no;600
pack034.pat;73;yes;57,15
pack035.pat;77;no;600
pack036.pat;106;no;600
pack037.pat;138;no;600
pack038.pat;88;no;600
pack039.pat;111;no;600
pack040.pat;91;no;600
pack041.pat;27;yes;14,16
pack042.pat;29;yes;0,41
pack043.pat;105;yes;163,61
pack044.pat;103;yes;10,81
pack045.pat;87;no;600
pack046.pat;128;no;600
pack047.pat;107;no;600
pack048.pat;77;no;600
pack049.pat;29;yes;1,69
pack050.pat;109;no;600
pack051.pat;29;yes;0,41
pack052.pat;85;no;600
pack053.pat;113;no;600
pack054.pat;100;no;600
pack055.pat;97;no;600
