instance;best_makespan;opt_or_unsat_certified;time
pack001.pat;23;yes;0,03
pack002.pat;32;yes;0,13
pack003.pat;29;yes;0,07
pack004.pat;44;no;600
pack005.pat;42;yes;14,61
pack006.pat;47;yes;25,30
pack007.pat;41;yes;41,87
pack008.pat;44;yes;8,97
pack009.pat;72;no;600
pack010.pat;38;yes;0,07
pack011.pat;44;yes;0,14
pack012.pat;45;yes;0,36
pack013.pat;36;yes;0,04
pack014.pat;45;yes;1,37
pack015.pat;43;yes;0,14
pack016.pat;63;yes;7,07
pack017.pat;62;yes;5,87
pack018.pat;60;yes;6,37
pack019.pat;59;yes;2,58
pack020.pat;62;yes;2,20
pack021.pat;51;yes;0,14
pack022.pat;59;yes;52,07
pack023.pat;51;yes;0,62
pack024.pat;56;yes;0,37
pack025.pat;70;no;600
pack026.pat;54;yes;0,12
pack027.pat;55;yes;4,96
pack028.pat;64;yes;6,58
pack029.pat;43;yes;0,22
pack030.pat;20;yes;0,11
pack031.pat;70;yes;0,10
pack032.pat;80;yes;0,42
pack033.pat;78;yes;10,87
pack034.pat;73;yes;2,59
pack035.pat;77;no;600
pack036.pat;106;no;600
pack037.pat;138;no;600
pack038.pat;87;no;600
pack039.pat;110;no;600
pack040.pat;91;no;600
pack041.pat;27;yes;0,15
pack042.pat;29;yes;0,05
pack043.pat;105;yes;8,02
pack044.pat;103;yes;2,87
pack045.pat;87;yes;267,58
pack046.pat;128;no;600
pack047.pat;107;no;600
pack048.pat;77;yes;139,95
pack049.pat;29;yes;0,06
pack050.pat;109;no;600
pack051.pat;29;yes;0,06
pack052.pat;85;yes;52,58
pack053.pat;113;no;600
pack054.pat;100;no;600
pack055.pat;97;no;600
