instance;best_makespan;opt_or_unsat_certified;time
pack001.pat;23;yes;0,06
pack002.pat;32;yes;0,27
pack003.pat;29;yes;0,08
pack004.pat;44;no;600
pack005.pat;42;yes;8,86
pack006.pat;47;yes;28,01
pack007.pat;41;yes;49,17
pack008.pat;44;yes;5,82
pack009.pat;72;no;600
pack010.pat;38;yes;0,07
pack011.pat;44;yes;0,16
pack012.pat;45;yes;0,32
pack013.pat;36;yes;0,06
pack014.pat;45;yes;0,14
pack015.pat;43;yes;0,18
pack016.pat;63;yes;0,95
pack017.pat;62;yes;12,20
pack018.pat;60;yes;5,94
pack019.pat;59;yes;0,50
pack020.pat;62;yes;1,28
pack021.pat;51;yes;0,08
pack022.pat;59;yes;21,34
pack023.pat;51;yes;0,64
pack024.pat;56;yes;0,59
pack025.pat;70;no;600
pack026.pat;54;yes;0,12
pack027.pat;55;yes;1,74
pack028.pat;64;yes;0,89
pack029.pat;43;yes;0,16
pack030.pat;20;yes;0,05
pack031.pat;70;yes;0,05
pack032.pat;80;yes;0,24
pack033.pat;78;yes;12,19
pack034.pat;73;yes;1,39
pack035.pat;77;no;600
pack036.pat;106;no;600
pack037.pat;138;no;600
pack038.pat;86;yes;246,77
pack039.pat;110;no;600
pack040.pat;91;no;600
pack041.pat;27;yes;2,32
pack042.pat;29;yes;6,02
pack043.pat;105;yes;3,50
pack044.pat;103;yes;1,09
pack045.pat;87;yes;200,38
pack046.pat;128;no;600
pack047.pat;107;no;600
pack048.pat;77;yes;114,67
pack049.pat;29;yes;0,18
pack050.pat;109;no;600
pack051.pat;29;yes;5,99
pack052.pat;85;yes;31,34
pack053.pat;113;no;600
pack054.pat;100;no;600
pack055.pat;97;no;600
