instance,horizon,variables,clauses,makespan,status,Solve time,timeout,error,,,,148,392
J50100_1.mm,399,876079,7919760,45,Optimal,71.35,No,,,,,,
J50100_2.mm,396,780743,8584351,46,Optimal,76.08,No,,,,,,
J50100_3.mm,405,780610,8184512,50,Optimal,85.43,No,,,,,,
J50100_4.mm,402,784406,8266098,45,Optimal,83.47,No,,,,,,
J50100_5.mm,400,801667,8002427,45,Optimal,70.96,No,,,,,,
J50101_1.mm,400,782049,8455464,41,Optimal,72.39,No,,,,,,
J50101_2.mm,399,751296,8037571,45,Optimal,68.74,No,,,,,,
J50101_3.mm,397,798001,7429485,39,Optimal,63.77,No,,,,,,
J50101_4.mm,376,747127,7377137,36,Optimal,64.34,No,,,,,,
J50101_5.mm,389,788197,8523445,36,Optimal,73.07,No,,,,,,
J50102_1.mm,412,799757,8650769,39,Optimal,76.89,No,,,,,,
J50102_2.mm,402,803048,8208039,43,Optimal,73.57,No,,,,,,
J50102_3.mm,378,857104,7743816,34,Optimal,69.76,No,,,,,,
J50102_4.mm,408,798357,9478741,36,Optimal,83.84,No,,,,,,
J50102_5.mm,421,808705,9864970,40,Optimal,86.99,No,,,,,,
J50103_1.mm,410,1788449,10660861,87,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J50103_2.mm,394,1645735,8907399,99,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J50103_3.mm,388,1563746,8715040,70,Feasible,601.32,Yes,wall-time kill (parent),,,,,
J50103_4.mm,387,1818830,10893766,59,Feasible,601.43,Yes,wall-time kill (parent),,,,,
J50103_5.mm,398,1684683,10459468,63,Feasible,601.37,Yes,wall-time kill (parent),,,,,
J50104_1.mm,384,1479578,8963348,51,Optimal,137.2,No,,,,,,
J50104_2.mm,421,1647156,10850978,55,Optimal,109.92,No,,,,,,
J50104_3.mm,403,1699940,10845591,57,Optimal,116.28,No,,,,,,
J50104_4.mm,404,1722477,11068239,53,Optimal,172.73,No,,,,,,
J50104_5.mm,397,1838375,10771238,55,Optimal,110.92,No,,,,,,
J50105_1.mm,391,1711414,10183951,42,Optimal,92.61,No,,,,,,
J50105_2.mm,394,1655337,10112268,43,Optimal,87.3,No,,,,,,
J50105_3.mm,399,1823631,10854451,40,Optimal,94.84,No,,,,,,
J50105_4.mm,391,1523221,10084933,40,Optimal,90.01,No,,,,,,
J50105_5.mm,414,1931973,11839241,38,Optimal,102.38,No,,,,,,
J50106_1.mm,404,1766920,10054508,46,Optimal,97.38,No,,,,,,
J50106_2.mm,409,1656991,10304136,53,Optimal,106.22,No,,,,,,
J50106_3.mm,402,1642863,10319822,46,Optimal,140.01,No,,,,,,
J50106_4.mm,425,1707834,10857553,46,Optimal,101.48,No,,,,,,
J50106_5.mm,400,1619324,9710336,46,Optimal,126.86,No,,,,,,
J50107_1.mm,418,1591695,10482304,53,Optimal,90.26,No,,,,,,
J50107_2.mm,385,1521426,9124865,38,Optimal,81.75,No,,,,,,
J50107_3.mm,401,1877272,10924763,38,Optimal,94.49,No,,,,,,
J50107_4.mm,411,1876836,10718813,50,Optimal,94.26,No,,,,,,
J50107_5.mm,403,1477508,9677053,40,Optimal,86.03,No,,,,,,
J50108_1.mm,405,1542892,9942278,45,Optimal,92.99,No,,,,,,
J50108_2.mm,415,1681730,10483163,46,Optimal,97.46,No,,,,,,
J50108_3.mm,414,1629683,9945953,50,Optimal,92.58,No,,,,,,
J50108_4.mm,398,1634242,10179786,38,Optimal,95.63,No,,,,,,
J50108_5.mm,389,1576412,9114750,40,Optimal,86.5,No,,,,,,
J5010_1.mm,400,1830854,13523364,40,Feasible,601.34,Yes,wall-time kill (parent),,,,,
J5010_2.mm,415,1742520,13431988,116,Feasible,601.72,Yes,wall-time kill (parent),,,,,
J5010_3.mm,398,1877121,13691324,37,Feasible,601.36,Yes,wall-time kill (parent),,,,,
J5010_4.mm,376,1638183,11995604,196,Feasible,601.27,Yes,wall-time kill (parent),,,,,
