instance,horizon,variables,clauses,makespan,status,Solve time,timeout,error,,,534,18,88
j3010_1.mm,247,237967,790162,26,Optimal,0.76,No,,,,,,
j3010_10.mm,260,215288,803130,32,Optimal,0.66,No,,,,,,
j3010_2.mm,241,195337,709835,28,Optimal,0.68,No,,,,,,
j3010_3.mm,240,223801,774485,24,Optimal,0.79,No,,,,,,
j3010_4.mm,237,202760,735076,36,Optimal,0.77,No,,,,,,
j3010_5.mm,237,179820,700767,33,Optimal,0.47,No,,,,,,
j3010_6.mm,238,243922,795525,25,Optimal,0.55,No,,,,,,
j3010_7.mm,233,226275,748503,22,Optimal,0.46,No,,,,,,
j3010_8.mm,243,246257,810761,31,Optimal,0.54,No,,,,,,
j3010_9.mm,237,196206,711428,38,Optimal,0.4,No,,,,,,
j3011_1.mm,232,247665,780122,35,Optimal,0.52,No,,,,,,
j3011_10.mm,252,254657,843928,35,Optimal,0.45,No,,,,,,
j3011_2.mm,232,221317,750076,28,Optimal,0.46,No,,,,,,
j3011_3.mm,234,258845,808375,31,Optimal,0.46,No,,,,,,
j3011_4.mm,214,198629,657075,35,Optimal,0.42,No,,,,,,
j3011_5.mm,250,256263,828181,35,Optimal,0.45,No,,,,,,
j3011_6.mm,258,289017,920383,33,Optimal,0.46,No,,,,,,
j3011_7.mm,252,266041,867679,32,Optimal,0.48,No,,,,,,
j3011_8.mm,238,240597,784646,30,Optimal,0.46,No,,,,,,
j3011_9.mm,234,243258,769042,26,Optimal,0.44,No,,,,,,
j3012_1.mm,241,259078,833679,29,Optimal,0.53,No,,,,,,
j3012_10.mm,239,280850,880706,28,Optimal,0.58,No,,,,,,
j3012_2.mm,254,281232,888404,31,Optimal,0.5,No,,,,,,
j3012_3.mm,270,346978,1052876,34,Optimal,0.54,No,,,,,,
j3012_4.mm,228,236899,763691,29,Optimal,0.5,No,,,,,,
j3012_5.mm,234,270438,835414,25,Optimal,0.46,No,,,,,,
j3012_6.mm,252,267898,868669,34,Optimal,0.46,No,,,,,,
j3012_7.mm,243,267171,863450,27,Optimal,0.44,No,,,,,,
j3012_8.mm,234,281188,890615,28,Optimal,0.51,No,,,,,,
j3012_9.mm,239,301853,910412,22,Optimal,0.46,No,,,,,,
j3013_1.mm,236,378890,1151951,37,Optimal,1.03,No,,,,,,
j3013_10.mm,232,406418,1215675,43,Feasible,601.14,Yes,wall-time kill (parent),,,,,
j3013_2.mm,238,411945,1238295,40,Optimal,104.8,No,,,,,,
j3013_3.mm,241,448313,1324453,41,Optimal,348.01,No,,,,,,
j3013_4.mm,235,424777,1261258,41,Optimal,244.23,No,,,,,,
j3013_5.mm,238,388735,1172117,38,Optimal,258.81,No,,,,,,
j3013_6.mm,239,429154,1278179,38,Optimal,16.61,No,,,,,,
