instance,horizon,variables,clauses,makespan,status,Solve time,timeout,error
j3010_1.mm,247,237967,790162,26,Optimal,0.44,No,
j3010_10.mm,260,215288,803130,32,Optimal,0.43,No,
j3010_2.mm,241,195337,709835,28,Optimal,0.41,No,
j3010_3.mm,240,223801,774485,24,Optimal,0.47,No,
j3010_4.mm,237,202760,735076,36,Optimal,0.42,No,
j3010_5.mm,237,179820,700767,33,Optimal,0.41,No,
j3010_6.mm,238,243922,795525,25,Optimal,0.52,No,
j3010_7.mm,233,226275,748503,22,Optimal,0.41,No,
j3010_8.mm,243,246257,810761,31,Optimal,0.46,No,
j3010_9.mm,237,196206,711428,38,Optimal,0.48,No,
j3011_1.mm,232,247665,780122,35,Optimal,0.41,No,
j3011_10.mm,252,254657,843928,35,Optimal,0.39,No,
j3011_2.mm,232,221317,750076,28,Optimal,0.44,No,
j3011_3.mm,234,258845,808375,31,Optimal,0.48,No,
j3011_4.mm,214,198629,657075,35,Optimal,0.38,No,
j3011_5.mm,250,256263,828181,35,Optimal,0.42,No,
j3011_6.mm,258,289017,920383,33,Optimal,0.45,No,
j3011_7.mm,252,266041,867679,32,Optimal,0.39,No,
j3011_8.mm,238,240597,784646,30,Optimal,0.43,No,
j3011_9.mm,234,243258,769042,26,Optimal,0.42,No,
